,name,funcs,n_heads,d_model,n_layers,attention_dir,act_fn,batch_size,lr,weight_decay,frac,attn_coeff,runid,diff_vocab,eqn_sign,save_embeddings,save_analysis,dist_irr,grad_sym,circ,trainfrac
44,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.7_1,0,0,False,False,0.6876231287204712,0.49720236448483773,0.9953264029352682,0.7
45,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.9_3,0,0,False,False,0.7411189591613245,0.5786989331059158,0.8902037916550689,0.9
46,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.5_2,0,0,False,False,0.9925892986096327,0.16154701308347286,0.9982467167039966,0.5
47,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.5_1,0,0,False,False,0.7704160670013381,0.6321619190648198,0.9107973191893441,0.5
48,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,A_trainfrac_0.8_7,0,0,False,False,0.7830712886327348,0.5428951356001198,0.9688894425483591,0.8
49,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.4_6,0,0,False,False,0.9498290708010433,0.5253401614073664,0.8873391676681448,0.4
50,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.5_6,0,0,False,False,0.7667591964588225,0.5438067421317101,0.9959109195564834,0.5
51,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.4_5,0,0,False,False,0.8552961595921523,0.6599195647239685,0.9395653533955499,0.4
52,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.7_10,0,0,False,False,0.8396035690052023,0.3000244589355134,0.9940113406164777,0.7
53,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.9_10,0,0,False,False,0.797557737667702,0.35198542796075344,0.982301092880717,0.9
54,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.4_1,0,0,False,False,0.8809189539611797,0.3573011969774961,0.9969213170126561,0.4
55,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,A_trainfrac_0.8_1,0,0,False,False,0.8113590104692043,0.48413587525486945,0.9292772429048259,0.8
56,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.5_9,0,0,False,False,0.829789296271717,0.439184868033044,0.9923684689784171,0.5
57,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.9_9,0,0,False,False,0.8775374092867055,0.28034814647049644,0.9923501624087553,0.9
58,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.6_2,0,0,False,False,0.73683180953333,0.6835653632879257,0.9937396377943638,0.6
59,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2,0.8,1,B_trainfrac_0.7_3,0,0,False,False,0.8049337487571131,0.24398874731974501,0.9934363127229066,0.7
