,name,funcs,n_heads,d_model,n_layers,attention_dir,act_fn,batch_size,lr,weight_decay,frac,trainfrac,attn_coeff,runid,diff_vocab,eqn_sign,save_embeddings,dist_irr,grad_sym,circ,save_analysis
41,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.6,0,A_frac0.6_3,0,0,False,0.6154131903243203,0.9923000925779343,0.7329394537377614,
42,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.6,0,A_frac0.6_8,0,0,False,0.4753608899105498,0.9916727650165558,0.9209501360419102,
43,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.7,0,A_frac0.7_7,0,0,False,0.3529846914074837,0.9944123494625091,0.9924904856837585,
44,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.4,0,A_frac0.4_3,0,0,False,0.4498065994084956,0.9943821746110916,0.9837349539565465,
45,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.8,0,A_trainfrac_0.8_7,0,0,False,0.7104111781093971,0.9925868451595307,0.9973449292837547,False
46,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.5,0,A_frac0.5_4,0,0,False,0.6810021037914606,0.99211394906044,0.8610597787070711,
47,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.6,0,A_frac0.6_1,0,0,False,0.5220637653347304,0.991961401104927,0.9873750133400283,
48,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.7,0,A_frac0.7_4,0,0,False,0.5098777713708837,0.9925616037845612,0.8899994749762024,
49,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.7,0,A_frac0.7_8,0,0,False,0.28731974480887956,0.993799592256546,0.9981010533842959,
50,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.5,0,A_frac0.5_1,0,0,False,0.61226043826967,0.9926546680927276,0.9726487477823756,
51,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.8,0,A_trainfrac_0.8_1,0,0,False,0.31341872998957415,0.992764230966568,0.9787207318958698,False
52,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_5,0,0,False,0.2578527977578444,0.9902263909578324,0.7872499523477259,False
53,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.4,0,A_frac0.4_9,0,0,False,0.5538711222046708,0.993560163974762,0.9289108585969288,
54,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.4,0,A_frac0.4_2,0,0,False,0.628500735344844,0.993725745677948,0.6703802181506711,
55,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_6,0,0,False,0.1821568042875545,0.9940799587965011,0.9995865890234781,False
56,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.7,0,A_frac0.7_9,0,0,False,0.5146277710975673,0.9919339668750763,0.9934905714269451,
57,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.6,0,A_frac0.6_4,0,0,False,0.4592765373810979,0.9941309213638305,0.9980361063808973,
58,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.9,0,A_trainfrac_0.9_1,0,0,False,0.536296269513836,0.9901418858766555,0.8080641617135769,False
59,modadd_59,lambda x: (x[0]+x[1])%59,4,128,1,casual,ReLU,3481,0.001,2.0,0.8,0.7,0,A_frac0.7_0,0,0,False,0.5087369438420708,0.9935307502746582,0.9915387104103197,
