,n_heads,d_model,n_layers,attention_dir,act_fn,batch_size,lr,weight_decay,frac,attn_coeff,runid,diff_vocab,eqn_sign,save_embeddings,save_analysis,dist_irr,grad_sym,circ
0,4,64,1,casual,ReLU,3481,0.001,2.0,0.8,0.7820468453025367,B_d_64_attn_0.782047,0,0,False,False,0.8136445384303918,0.6034341391234193,0.922818852342413
1,4,469,1,casual,ReLU,3481,0.001,2.0,0.8,0.5266045982378025,B_d_469_attn_0.526605,0,0,False,False,0.1818617316380548,0.9925733417272568,0.9997975632049978
2,4,52,1,casual,ReLU,3481,0.001,2.0,0.8,0.09007008797036804,B_d_52_attn_0.090070,0,0,False,,0.21694893797280948,0.9961325860023499,0.9821939795521366
3,4,37,1,casual,ReLU,3481,0.001,2.0,0.8,0.6252717843320189,B_d_37_attn_0.625272,0,0,False,False,0.7452705292401122,0.6362302450835705,0.7945024407091938
4,4,210,1,casual,ReLU,3481,0.001,2.0,0.8,0.09256142310832434,B_d_210_attn_0.092561,0,0,False,,0.2026107856179533,0.9921339178085327,0.9980736278996046
5,4,94,1,casual,ReLU,3481,0.001,2.0,0.8,0.8046370666094563,B_d_94_attn_0.804637,0,0,False,False,0.5510349853840787,0.7685785165429115,0.9873504788925179
6,4,116,1,casual,ReLU,3481,0.001,2.0,0.8,0.27872143954015594,B_d_116_attn_0.278721,0,0,False,,0.2178697018597588,0.991617186665535,0.9990203994868561
7,4,38,1,casual,ReLU,3481,0.001,2.0,0.8,0.4811043166662348,B_d_38_attn_0.481104,0,0,False,,0.5342631557891823,0.8257252248749137,0.9985825934262762
8,4,137,1,casual,ReLU,3481,0.001,2.0,0.8,0.36524545600022673,B_d_137_attn_0.365245,0,0,False,False,0.483345984446528,0.9928393316268921,0.9803677930943301
9,4,245,1,casual,ReLU,3481,0.001,2.0,0.8,0.7425513293528724,B_d_245_attn_0.742551,0,0,False,False,0.621925947403068,0.9932319271564484,0.9964401787044352
10,4,121,1,casual,ReLU,3481,0.001,2.0,0.8,0.7605278500542156,B_d_121_attn_0.760528,0,0,False,False,0.4994299467517335,0.8859266144037247,0.935954257532524
11,4,147,1,casual,ReLU,3481,0.001,2.0,0.8,0.5656192891889585,B_d_147_attn_0.565619,0,0,False,False,0.25055406343256714,0.9922590959072113,0.8922229552188474
12,4,35,1,casual,ReLU,3481,0.001,2.0,0.8,0.24336466568858042,B_d_35_attn_0.243365,0,0,False,,0.3490032763951038,0.9921372038125992,0.9240969028641923
13,4,325,1,casual,ReLU,3481,0.001,2.0,0.8,0.814289233629506,B_d_325_attn_0.814289,0,0,False,False,0.33178884299907746,0.9847723668813706,0.9700648025547083
14,4,250,1,casual,ReLU,3481,0.001,2.0,0.8,0.4339024413192112,B_d_250_attn_0.433902,0,0,False,False,0.4018862897438448,0.9902416646480561,0.9929855259630381
15,4,45,1,casual,ReLU,3481,0.001,2.0,0.8,0.9376526680792936,B_d_45_attn_0.937653,0,0,False,,0.4907018675079334,0.31273588127456603,0.9995440950829177
16,4,269,1,casual,ReLU,3481,0.001,2.0,0.8,0.3220598513104786,B_d_269_attn_0.322060,0,0,False,,0.40417976597968747,0.990522341132164,0.8617702949506767
