Unnamed: 0,C,act_fn,attention_dir,attn_coeff,batch_size,d_model,diff_vocab,epoch,eqn_sign,frac,func,funcs,lr,n_heads,n_layers,name,runid,weight_decay,best_test_accuracy,best_train_accuracy,dist_irr,generalization_delay1,generalization_delay2,generalization_gap,mean_std_row,med_std_row,parameter_norm,std_mean_col,std_med_col,training_accuracy,training_loss,validation_accuracy,validation_loss,grad_sym,circ
5636,59,ReLU,casual,0.280547343,3481,484,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,pyes6j8rsz,2,1.0,1.0,0.191191581,62.62288648,62.62288648,0.0,0.204729197,0.204166541,23.20771237,0.201189602,0.199766782,1.0,1.16e-07,1.0,1.74e-07,0.992417479,0.998943432
2330,59,ReLU,casual,0.290884582,3481,64,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,mwc3fcawgj,2,1.0,1.0,0.578272837,48.79066642,48.79066642,0.0,0.12735675,0.10047661,25.64651575,0.11432558,0.111766295,1.0,2.19e-07,1.0,0.000100451,0.995716618,0.988915368
3226,59,ReLU,casual,0.366156179,3481,126,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,sqcb69wyhy,2,1.0,1.0,0.924049744,69.72041743,69.72041743,0.0,0.075420191,0.075369417,16.89561366,0.070181044,0.070068506,1.0,4.06e-08,1.0,5.39e-08,0.995479462,0.999530057
3012,59,ReLU,casual,0.231876517,3481,87,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,soh8c9exew,2,1.0,1.0,0.865412499,69.85773109,69.86011147,0.0,0.096604838,0.096834322,13.22125743,0.093319422,0.098604962,1.0,1.83e-08,1.0,2.38e-08,0.997799106,0.953067362
5152,59,ReLU,casual,0.878113637,3481,70,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,dpbql795vs,2,1.0,1.0,0.985397304,56.90013216,56.92084181,0.0,0.047410472,0.046329399,24.95587826,0.036624461,0.03888014,1.0,0.005676612,1.0,0.007200987,0.650143643,0.982820584
4025,59,ReLU,casual,0.558398043,3481,48,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,xsuwcwgvr6,2,1.0,1.0,0.600868843,39.23487052,39.30330834,0.0,0.156193112,0.143294632,25.95270772,0.143076948,0.143656152,1.0,2.18e-07,1.0,2.86e-07,0.961222144,0.499653014
5741,59,ReLU,casual,0.777272876,3481,54,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,k1g5kxf6m1,2,0.992826402,0.99856323,0.992009682,635.7505407,522.7118373,0.005736828,0.069207381,0.067030359,19.9227699,0.017635579,0.020993621,0.989942551,0.117019509,0.964132011,0.181449629,0.822758927,0.460229071
3685,59,ReLU,casual,0.681455593,3481,149,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,i84msawzev,2,1.0,1.0,0.982798631,70.76517086,70.80279414,0.0,0.057176969,0.051873369,21.93800718,0.031943315,0.027500699,0.378591955,2.76506312,0.368723094,2.892224866,0.350721666,0.651866065
4338,59,ReLU,casual,0.915383974,3481,348,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,h7n61pyf63,2,1.0,1.0,0.680467503,60.79034622,60.79034622,0.0,0.13962366,0.115922483,25.59595537,0.100028587,0.0935833,1.0,1.4e-07,1.0,2.22e-07,0.833195152,0.998987234
410,59,ReLU,casual,0.4563551,3481,109,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,nt8glj3des,2,1.0,1.0,0.20542667,52.56323881,52.56323881,0.0,0.204559815,0.204654507,23.57942691,0.200587791,0.199381447,1.0,1.38e-07,1.0,2.06e-07,0.994007187,0.992502526
4935,59,ReLU,casual,0.093843369,3481,301,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,t1twin253x,2,1.0,1.0,0.842246457,55.29037185,55.30032213,0.0,0.162448034,0.160834534,24.54063066,0.085066823,0.095075552,1.0,1.35e-07,1.0,1.91e-06,0.99012176,0.786258998
712,59,ReLU,casual,0.846914186,3481,92,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,foyx986xsz,2,1.0,1.0,0.939953906,57.76416129,57.76416129,0.0,0.089257084,0.085695387,25.45457364,0.062257569,0.072733964,1.0,0.005113778,1.0,0.008115166,0.759424572,0.930464012
4625,59,ReLU,casual,0.830476069,3481,174,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,obj5ci2ltm,2,1.0,1.0,0.91817481,62.56925243,62.67195397,0.0,0.086415892,0.078014528,19.64594854,0.074420259,0.068238872,0.999640822,0.126366829,1.0,0.141750303,-0.25944028,0.863944312
2464,59,ReLU,casual,0.818467555,3481,58,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,q3esaumf86,2,1.0,1.0,0.732275073,34.29331262,34.44825519,0.0,0.15396012,0.155153661,25.33753771,0.129087369,0.130149478,1.0,1.92e-07,1.0,2.54e-07,0.076278311,0.99881039
5826,59,ReLU,casual,0.057589526,3481,90,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,a4mdxd99zd,2,1.0,1.0,0.752074007,51.50245363,51.52451142,0.0,0.171752508,0.171872395,24.30475262,0.109846303,0.109484491,1.0,1.59e-07,1.0,2.34e-07,0.990004684,0.930308716
5967,59,ReLU,casual,0.06255002,3481,345,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,fcjrilu9te,2,1.0,1.0,0.907847801,85.64641718,85.65771354,0.0,0.082807456,0.074363231,37.1183775,0.076798873,0.067997889,0.655890822,2.843607778,0.625538051,3.173179953,-0.673310716,0.977173639
1612,59,ReLU,casual,0.799350338,3481,84,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,m2tklr4il9,2,1.0,1.0,0.767395313,29.27357553,29.27357553,0.0,0.142050178,0.141858028,23.84034539,0.103899532,0.114571034,1.0,1.46e-07,1.0,1.91e-07,0.95814422,0.991300614
4125,59,ReLU,casual,0.380666338,3481,40,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,czoucyv51i,2,1.0,1.0,0.401444878,32.98967912,33.01085361,0.0,0.165099212,0.164906251,23.75084507,0.154209144,0.154008216,1.0,2.02e-07,1.0,3.48e-07,0.993233546,0.782389595
5283,59,ReLU,casual,0.693090329,3481,161,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,t1y14wfrvp,2,1.0,1.0,0.393041096,70.55707474,70.55707474,0.0,0.188987741,0.187573716,25.2925729,0.177940724,0.178920723,1.0,1.79e-07,1.0,3.04e-06,0.927238049,0.6695699
4163,59,ReLU,casual,0.479024843,3481,34,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,hbzy4etgdt,2,0.816355824,0.900502861,0.991065437,2025.966532,373.3979451,0.084147036,0.064324179,0.058636363,20.8838655,0.02041525,0.021833937,0.863505721,1.136461667,0.779053092,2.069193053,0.97471234,0.265478778
1706,59,ReLU,casual,0.652340536,3481,305,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,s97bya4mer,2,1.0,1.0,0.355983989,79.44044166,79.44360434,0.0,0.157233677,0.156798155,19.19857989,0.148178425,0.147149889,1.0,5.43e-08,1.0,6.39e-05,0.999582303,0.875532782
544,59,ReLU,casual,0.905603898,3481,62,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,iqxmwthip5,2,1.0,1.0,0.997402393,86.96036866,86.9646419,0.0,0.040763693,0.041987509,21.83412763,0.014310662,0.022146698,1.0,0.03865596,0.975609779,0.106797548,0.10221305,0.471919874
2600,59,ReLU,casual,0.664381848,3481,34,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,5ohd51qahs,2,1.0,1.0,0.645828391,90.53311306,90.53311306,0.0,0.14960651,0.150866038,25.65826379,0.131322075,0.133880401,1.0,2.87e-07,1.0,4.04e-07,0.945002762,0.996274868
3750,59,ReLU,casual,0.333557542,3481,366,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,zscx5x6jc7,2,1.0,1.0,0.761866169,59.36982342,59.39193893,0.0,0.113625941,0.10779843,14.6901725,0.109753287,0.10610632,1.0,2.37e-08,1.0,3.73e-08,0.999128121,0.99453643
2640,59,ReLU,casual,0.791823915,3481,34,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,zlt7ufqrkf,2,1.0,1.0,0.89959373,14.858582,14.9262643,0.0,0.09017236,0.09140748,16.38715629,0.065269548,0.065167355,0.999640822,0.046914999,0.991391659,0.074998453,-0.112111252,0.744555732
3113,59,ReLU,casual,0.66748097,3481,496,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,pargtch87u,2,1.0,1.0,0.256092911,63.79594675,63.79594675,0.0,0.240039892,0.239259967,32.14625712,0.233464548,0.231594838,1.0,0.092945151,0.994261146,0.120916064,0.989498776,0.950735162
2407,59,ReLU,casual,0.02206255,3481,62,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,79xhp1ngkh,2,1.0,1.0,0.633347428,52.93584235,53.06401019,0.0,0.15135816,0.14934733,23.50296684,0.12058498,0.124663764,1.0,1.6e-07,1.0,2.62e-07,0.99162525,0.986853387
5762,59,ReLU,casual,0.713689091,3481,39,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,1fc7cejv37,2,1.0,1.0,0.777753094,26.91713755,27.06020246,0.0,0.122480956,0.122076396,18.82729297,0.097341778,0.107107428,1.0,0.214402536,1.0,0.222930553,0.506383313,0.785430932
6096,59,ReLU,casual,0.352482552,3481,389,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,fxw5qb3tn3,2,1.0,1.0,0.948967394,228.9268876,228.9318215,0.0,0.072848153,0.071690344,22.38173663,0.059768167,0.062152538,1.0,4.15e-08,1.0,9.24e-08,0.927531437,0.317273013
6008,59,ReLU,casual,0.07156691,3481,65,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,7dkukjftmu,2,1.0,1.0,0.963714845,93.89271219,93.89877935,0.0,0.068626213,0.06982347,20.49765864,0.054922174,0.055659445,1.0,0.01253412,1.0,0.019757874,0.979546698,0.483861382
977,59,ReLU,casual,0.384932207,3481,256,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,esfgv5zd3j,2,1.0,1.0,0.750013167,57.3295029,57.33946761,0.0,0.140104721,0.135079911,25.31366585,0.096758374,0.097959001,1.0,1.51e-07,1.0,5.17e-05,0.992286102,0.876135804
1263,59,ReLU,casual,0.671591525,3481,85,0,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,mai36qpsdf,2,1.0,1.0,0.986730444,27.7318084,27.73280559,0.0,0.046329395,0.043665102,23.81791485,0.031006506,0.029170528,1.0,1.43e-07,1.0,1.87e-07,0.89954172,0.998333825
2412,59,ReLU,casual,0.384400632,3481,112,1,20000,1,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,6k5gil4z5t,2,1.0,1.0,0.404528235,98.11304491,98.13049088,0.0,0.146575029,0.145286605,26.28243669,0.138178059,0.137492999,1.0,1.76e-07,0.997130573,0.053532155,0.992800928,0.448824924
5594,59,ReLU,casual,0.197815292,3481,53,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,wg783887i2,2,1.0,1.0,0.759519335,28.17500198,28.20231837,0.0,0.133643137,0.131564635,23.49403583,0.105935044,0.108074664,0.96875,0.131270545,0.945480645,0.180264964,0.994312293,0.981303251
2571,59,ReLU,casual,0.244647648,3481,291,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,2,modadd_59,39mgogs4li,2,1.0,1.0,0.598411139,73.05588001,73.05588001,0.0,0.138265115,0.136078329,17.85635811,0.114609436,0.116211549,1.0,4.53e-08,0.998565257,0.001815046,0.997496722,0.845657053
2409,59,ReLU,casual,0.466758395,3481,34,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,jv6ea7deq4,2,0.984218061,0.987068951,0.608727229,64.84967021,36.60259742,0.00285089,0.135059385,0.125404348,25.23966999,0.134019017,0.124969611,0.623922408,0.799442647,0.601147771,0.811737518,0.995413525,0.419136616
3043,59,ReLU,casual,0.085470647,3481,118,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,ca8q5gk3kx,2,1.0,1.0,0.554419634,41.64630152,41.69940113,0.0,0.150209111,0.144385013,23.91274747,0.128997169,0.12626011,1.0,1.44e-07,1.0,2.52e-07,0.994492068,0.996166389
3220,59,ReLU,casual,0.120705172,3481,181,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,t41ivsi27n,2,1.0,1.0,0.583581086,46.36288042,46.36288042,0.0,0.143906659,0.140598514,24.16291981,0.120520789,0.116395731,1.0,1.4e-07,1.0,8.09e-07,0.992762622,0.997954163
1370,59,ReLU,casual,0.317911465,3481,130,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,1,modadd_59,x87dk7pkwe,2,1.0,1.0,0.595079197,236.5194978,236.5209099,0.0,0.12996174,0.123611603,25.77709551,0.113560886,0.106275712,1.0,1.65e-07,1.0,2.97e-07,0.996520575,0.4910021
1209,59,ReLU,casual,0.455806565,3481,66,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,qtkvkp96k2,2,1.0,1.0,0.746617789,67.34403084,67.37450113,0.0,0.114507715,0.111276116,15.00304779,0.109144598,0.106243398,1.0,2.8e-08,1.0,4.04e-08,0.998845714,0.979676439
3824,59,ReLU,casual,0.801198121,3481,322,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,3,modadd_59,hz4s6nq2d4,2,1.0,1.0,0.704874039,57.16928192,57.17068984,0.0,0.14328338,0.14800594,17.02267648,0.107513654,0.104471678,1.0,3.33e-08,1.0,1.26e-06,0.997949771,0.905836264
1480,59,ReLU,casual,0.002964715,3481,149,1,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,3j9uztu21f,2,1.0,1.0,0.888516284,268.7398734,268.7552611,0.0,0.096703095,0.086058646,21.05746342,0.095631822,0.086738921,0.796695411,0.779316066,0.763271153,0.789600055,0.876297343,0.497945052
4162,59,ReLU,casual,0.77274625,3481,427,0,20000,0,0.8,__main__.<lambda>,lambda x: (x[0]+x[1])%59,0.001,4,4,modadd_59,ckryw1hets,2,1.0,1.0,0.968403284,74.17052369,74.19084322,0.0,0.066031929,0.058684298,34.4279088,0.038889126,0.036266763,0.332614928,1.532800939,0.2984218,1.58689184,0.188451537,0.790331866
